,funded_amnt,funded_amnt_inv,loan_amnt,loan_status,title,dti,zip_code,addr_state,emp_length,policy_code
524010,5000.0,5000.0,5000.0,Current,Car financing,21.43,599xx,MT,3 years,1.0
1564817,10000.0,10000.0,10000.0,Current,Debt consolidation,20.78,305xx,GA,10+ years,1.0
892636,10000.0,10000.0,10000.0,Current,Home improvement,32.21,475xx,IN,3 years,1.0
32470,24000.0,24000.0,24000.0,Fully Paid,Debt consolidation,24.14,238xx,VA,10+ years,1.0
418306,20000.0,20000.0,20000.0,Fully Paid,Credit card refinancing,25.2,100xx,NY,10+ years,1.0
2478,5175.0,5175.0,5175.0,Fully Paid,Other,21.16,853xx,AZ,< 1 year,1.0
2260194,23000.0,23000.0,23000.0,Fully Paid,Debt consolidation,9.61,925xx,CA,1 year,1.0
1267311,28000.0,28000.0,28000.0,Fully Paid,Debt consolidation,29.13,074xx,NJ,2 years,1.0
1702471,5400.0,5400.0,5400.0,Fully Paid,Other,14.87,278xx,NC,3 years,1.0
1328897,10000.0,9975.0,10000.0,Fully Paid,Debt consolidation,24.59,448xx,OH,,1.0
429289,12000.0,12000.0,12000.0,Fully Paid,Debt consolidation,9.17,077xx,NJ,6 years,1.0
2030812,5000.0,5000.0,5000.0,Fully Paid,Home improvement,6.39,304xx,GA,9 years,1.0
975372,17000.0,17000.0,17000.0,Current,Debt consolidation,14.36,068xx,CT,6 years,1.0
1606421,10000.0,10000.0,10000.0,Current,Credit card refinancing,5.31,956xx,CA,8 years,1.0
1359425,6000.0,6000.0,6000.0,Current,Vacation,12.55,950xx,CA,2 years,1.0
1195957,8000.0,8000.0,8000.0,Charged Off,Home improvement,17.96,751xx,TX,8 years,1.0
1391992,18000.0,18000.0,18000.0,Current,Debt consolidation,18.86,991xx,WA,2 years,1.0
328201,6000.0,6000.0,6000.0,Fully Paid,Debt consolidation,20.6,275xx,NC,6 years,1.0
595766,12000.0,12000.0,12000.0,Current,Debt consolidation,16.74,276xx,NC,2 years,1.0
1220789,12000.0,12000.0,12000.0,Fully Paid,Debt consolidation,13.32,284xx,NC,2 years,1.0
676823,12000.0,12000.0,12000.0,Fully Paid,Credit card refinancing,10.16,080xx,NJ,9 years,1.0
259143,24000.0,24000.0,24000.0,Fully Paid,Credit card refinancing,19.31,928xx,CA,1 year,1.0
1180591,4800.0,4800.0,4800.0,Fully Paid,Debt consolidation,11.87,604xx,IL,4 years,1.0
50800,24000.0,24000.0,24000.0,Charged Off,Debt consolidation,14.34,780xx,TX,9 years,1.0
1455867,6000.0,6000.0,6000.0,Current,Other,11.57,382xx,TN,10+ years,1.0
1947471,10000.0,10000.0,10000.0,Current,Debt consolidation,10.51,658xx,MO,10+ years,1.0
2189482,29000.0,29000.0,29000.0,Current,Debt consolidation,21.83,432xx,OH,8 years,1.0
2135307,10000.0,10000.0,10000.0,Fully Paid,Debt consolidation,11.85,601xx,IL,6 years,1.0
1647130,16100.0,16000.0,16100.0,Fully Paid,Consolidating credit cards,10.89,606xx,IL,< 1 year,1.0
1184598,6000.0,6000.0,6000.0,Fully Paid,Debt consolidation,3.36,210xx,MD,6 years,1.0
1154798,15000.0,15000.0,15000.0,Charged Off,Other,16.76,126xx,NY,8 years,1.0
1989078,10000.0,10000.0,10000.0,Fully Paid,Debt consolidation,22.26,700xx,LA,7 years,1.0
1800573,22250.0,22250.0,22250.0,Fully Paid,cc payoff loan,28.32,724xx,AR,10+ years,1.0
1972309,6925.0,6925.0,6925.0,Fully Paid,Debt consolidation,27.71,330xx,FL,2 years,1.0
950020,18000.0,18000.0,18000.0,Fully Paid,Debt consolidation,25.23,775xx,TX,10+ years,1.0
631097,12000.0,12000.0,12000.0,Current,Debt consolidation,15.57,212xx,MD,10+ years,1.0
455365,36000.0,36000.0,36000.0,Fully Paid,Home improvement,13.67,183xx,PA,10+ years,1.0
1073635,32000.0,32000.0,32000.0,Fully Paid,Credit card refinancing,25.41,604xx,IL,8 years,1.0
1306943,8000.0,8000.0,8000.0,Fully Paid,Home improvement,7.54,930xx,CA,2 years,1.0
2245169,8875.0,8875.0,8875.0,Fully Paid,Debt consolidation,13.21,222xx,VA,2 years,1.0
1464390,12000.0,12000.0,12000.0,Current,Credit card refinancing,30.59,201xx,VA,10+ years,1.0
199499,12000.0,12000.0,12000.0,Current,Debt consolidation,28.69,119xx,NY,4 years,1.0
837295,12000.0,12000.0,12000.0,Current,Credit card refinancing,15.14,927xx,CA,10+ years,1.0
593765,9600.0,9600.0,9600.0,Current,Credit card refinancing,19.18,100xx,NY,10+ years,1.0
1773988,26000.0,26000.0,26000.0,Fully Paid,debt consolidation,8.34,914xx,CA,7 years,1.0
1951653,5000.0,5000.0,5000.0,Fully Paid,Home improvement,15.26,736xx,OK,8 years,1.0
975893,8500.0,8500.0,8500.0,Current,Home improvement,23.51,327xx,FL,10+ years,1.0
212859,12000.0,12000.0,12000.0,Current,Debt consolidation,24.2,087xx,NJ,4 years,1.0
1639925,3200.0,3200.0,3200.0,Fully Paid,Transmission Rebuild Loan,16.22,980xx,WA,2 years,1.0
92821,5200.0,5200.0,5200.0,Fully Paid,Credit card refinancing,16.62,786xx,TX,10+ years,1.0
1439512,11200.0,11200.0,11200.0,Current,Credit card refinancing,17.58,750xx,TX,4 years,1.0
827050,8000.0,8000.0,8000.0,Current,Debt consolidation,22.0,190xx,PA,10+ years,1.0
495564,5000.0,5000.0,5000.0,Charged Off,Debt consolidation,11.45,100xx,NY,,1.0
1868949,8000.0,8000.0,8000.0,Fully Paid,"Get Out From Under, eh!",13.14,554xx,MN,5 years,1.0
977557,2000.0,2000.0,2000.0,Current,Home improvement,22.13,350xx,AL,< 1 year,1.0
22561,6000.0,6000.0,6000.0,Charged Off,Home improvement,19.57,140xx,NY,10+ years,1.0
133292,6000.0,6000.0,6000.0,Fully Paid,Medical expenses,19.75,900xx,CA,,1.0
1497426,16000.0,16000.0,16000.0,Current,Other,9.72,923xx,CA,8 years,1.0
1494003,25000.0,25000.0,25000.0,In Grace Period,Major purchase,10.13,201xx,VA,4 years,1.0
859339,40000.0,40000.0,40000.0,Current,Debt consolidation,14.82,630xx,MO,6 years,1.0
492449,12800.0,12800.0,12800.0,Current,Debt consolidation,20.69,208xx,MD,3 years,1.0
11930,10000.0,10000.0,10000.0,Fully Paid,Debt consolidation,17.77,922xx,CA,2 years,1.0
1386250,16000.0,16000.0,16000.0,Current,Credit card refinancing,22.18,895xx,NV,,1.0
1816086,6775.0,6775.0,6775.0,Fully Paid,Cut debt,4.36,119xx,NY,4 years,1.0
1251117,31500.0,31500.0,31500.0,Charged Off,Credit card refinancing,9.85,549xx,WI,10+ years,1.0
957733,14400.0,14400.0,14400.0,Current,Credit card refinancing,12.35,640xx,MO,10+ years,1.0
1940779,11500.0,11500.0,11500.0,Fully Paid,Car financing,31.68,959xx,CA,10+ years,1.0
367573,15000.0,15000.0,15000.0,Fully Paid,Credit card refinancing,19.47,134xx,NY,,1.0
1201385,30000.0,30000.0,30000.0,Fully Paid,Debt consolidation,7.69,125xx,NY,4 years,1.0
1130892,12800.0,12800.0,12800.0,Charged Off,Debt consolidation,17.9,554xx,MN,10+ years,1.0
703541,20000.0,20000.0,20000.0,Current,Debt consolidation,9.59,494xx,MI,10+ years,1.0
1489800,19000.0,19000.0,19000.0,Current,Credit card refinancing,8.23,105xx,NY,,1.0
817280,12875.0,12875.0,12875.0,Current,Major purchase,16.5,775xx,TX,10+ years,1.0
1373230,6025.0,6025.0,6025.0,Current,Credit card refinancing,23.69,010xx,MA,6 years,1.0
1587250,24000.0,24000.0,24000.0,Current,Credit card refinancing,17.94,191xx,PA,10+ years,1.0
560009,16000.0,16000.0,16000.0,Current,Credit card refinancing,14.65,765xx,TX,,1.0
1763323,21600.0,21600.0,21600.0,Fully Paid,Debt Free,24.63,554xx,MN,3 years,1.0
760661,24000.0,24000.0,24000.0,Current,Debt consolidation,22.51,228xx,VA,3 years,1.0
1299091,22400.0,22400.0,22400.0,Fully Paid,Debt consolidation,17.04,984xx,WA,10+ years,1.0
2077359,6000.0,6000.0,6000.0,Charged Off,Car financing,7.64,919xx,CA,10+ years,1.0
504863,35000.0,35000.0,35000.0,Fully Paid,Credit card refinancing,24.44,761xx,TX,10+ years,1.0
44162,15000.0,15000.0,15000.0,Fully Paid,Major purchase,7.09,953xx,CA,10+ years,1.0
190201,35000.0,35000.0,35000.0,Fully Paid,Debt consolidation,20.58,029xx,RI,1 year,1.0
2162938,3000.0,3000.0,3000.0,Current,Home improvement,13.82,705xx,LA,8 years,1.0
967516,24600.0,24600.0,24600.0,Fully Paid,Debt consolidation,26.07,937xx,CA,10+ years,1.0
1896553,10000.0,10000.0,10000.0,Charged Off,Health and Wellness,30.65,441xx,OH,2 years,1.0
461809,15000.0,15000.0,15000.0,Current,Credit card refinancing,10.61,532xx,WI,10+ years,1.0
210367,6000.0,6000.0,6000.0,Fully Paid,Credit card refinancing,30.91,891xx,NV,,1.0
1160265,3000.0,3000.0,3000.0,Fully Paid,Debt consolidation,4.63,061xx,CT,10+ years,1.0
2165324,2500.0,2500.0,2500.0,Fully Paid,Other,27.11,900xx,CA,,1.0
923449,5000.0,5000.0,5000.0,Fully Paid,Debt consolidation,9.03,114xx,NY,1 year,1.0
689479,4800.0,4800.0,4800.0,Fully Paid,Debt consolidation,11.94,906xx,CA,6 years,1.0
47569,5000.0,5000.0,5000.0,Charged Off,Debt consolidation,16.6,782xx,TX,2 years,1.0
594384,20000.0,20000.0,20000.0,Current,Debt consolidation,40.16,056xx,VT,< 1 year,1.0
2225846,16000.0,16000.0,16000.0,Fully Paid,Home improvement,12.24,916xx,CA,2 years,1.0
1851819,6000.0,6000.0,6000.0,Charged Off,Credit Card Relief,6.82,462xx,IN,1 year,1.0
23137,10700.0,10700.0,10700.0,Charged Off,Credit card refinancing,29.19,765xx,TX,10+ years,1.0
1436056,24000.0,24000.0,24000.0,Current,Home improvement,33.87,229xx,VA,2 years,1.0
2046355,12000.0,12000.0,12000.0,Fully Paid,Debt consolidation,11.56,972xx,OR,1 year,1.0
2041697,14000.0,14000.0,14000.0,Current,Debt consolidation,41.21,600xx,IL,,1.0
2109865,6000.0,6000.0,6000.0,Current,Home improvement,34.22,285xx,NC,10+ years,1.0
1403427,15000.0,15000.0,15000.0,Current,Credit card refinancing,14.1,671xx,KS,3 years,1.0
830781,40000.0,40000.0,40000.0,Current,Debt consolidation,18.91,773xx,TX,2 years,1.0
599297,7375.0,7375.0,7375.0,Fully Paid,Debt consolidation,15.58,705xx,LA,,1.0
1493884,25000.0,25000.0,25000.0,Current,Credit card refinancing,22.79,198xx,DE,8 years,1.0
1718511,16000.0,16000.0,16000.0,Fully Paid,Debt consolidation,5.97,207xx,MD,10+ years,1.0
857114,20800.0,20800.0,20800.0,Current,Debt consolidation,21.78,368xx,AL,8 years,1.0
294748,20400.0,20400.0,20400.0,Fully Paid,Debt consolidation,12.19,208xx,MD,< 1 year,1.0
309605,21600.0,21600.0,21600.0,Fully Paid,Debt consolidation,15.2,750xx,TX,6 years,1.0
264245,20000.0,20000.0,20000.0,Fully Paid,Debt consolidation,24.7,307xx,GA,1 year,1.0
739555,3000.0,3000.0,3000.0,Fully Paid,Other,8.12,852xx,AZ,< 1 year,1.0
1660176,12875.0,12875.0,12875.0,Current,Debt consolidation,11.35,481xx,MI,8 years,1.0
2028239,29850.0,29850.0,29850.0,Charged Off,Debt consolidation,15.14,958xx,CA,6 years,1.0
1966511,30000.0,30000.0,30000.0,Current,Debt consolidation,31.97,797xx,TX,10+ years,1.0
402611,3500.0,3500.0,3500.0,Fully Paid,Debt consolidation,7.89,354xx,AL,3 years,1.0
728823,7000.0,7000.0,7000.0,Current,,43.11,601xx,IL,10+ years,1.0
2039947,22000.0,22000.0,22000.0,Fully Paid,Home improvement,25.38,448xx,OH,10+ years,1.0
1382009,10000.0,10000.0,10000.0,Current,Debt consolidation,7.72,024xx,MA,2 years,1.0
690781,20000.0,20000.0,20000.0,Current,Credit card refinancing,41.71,585xx,ND,< 1 year,1.0
437468,10000.0,10000.0,10000.0,Current,Major purchase,15.3,333xx,FL,2 years,1.0
472861,15600.0,15600.0,15600.0,Current,Debt consolidation,14.8,070xx,NJ,1 year,1.0
2040291,35000.0,35000.0,35000.0,Current,Credit card refinancing,17.94,604xx,IL,5 years,1.0
1577460,19000.0,19000.0,19000.0,Current,Credit card refinancing,83.11,808xx,CO,10+ years,1.0
1010950,15600.0,15600.0,15600.0,Fully Paid,Credit card refinancing,14.68,481xx,MI,9 years,1.0
1944394,21000.0,21000.0,21000.0,Fully Paid,Debt consolidation,12.8,023xx,MA,10+ years,1.0
1971622,12000.0,12000.0,12000.0,Fully Paid,Debt consolidation,10.86,104xx,NY,10+ years,1.0
605186,6000.0,6000.0,6000.0,Fully Paid,Business,15.6,701xx,LA,3 years,1.0
2189628,15000.0,15000.0,15000.0,Charged Off,Debt consolidation,32.54,891xx,NV,10+ years,1.0
827483,8000.0,8000.0,8000.0,Fully Paid,Major purchase,17.94,945xx,CA,10+ years,1.0
1658686,18000.0,18000.0,18000.0,Fully Paid,Debt consolidation,13.38,310xx,GA,2 years,1.0
1462022,3500.0,3500.0,3500.0,Current,Home improvement,20.81,158xx,PA,4 years,1.0
1171873,10500.0,10500.0,10500.0,Fully Paid,Debt consolidation,32.44,370xx,TN,9 years,1.0
340728,13000.0,12900.0,13000.0,Fully Paid,Credit card refinancing,34.51,317xx,GA,< 1 year,1.0
1346910,16750.0,16750.0,16750.0,Fully Paid,Home improvement,6.48,606xx,IL,10+ years,1.0
1262754,2000.0,2000.0,2000.0,Fully Paid,Home improvement,14.9,925xx,CA,3 years,1.0
735433,35000.0,35000.0,35000.0,Fully Paid,Home improvement,3.98,786xx,TX,3 years,1.0
474943,10000.0,10000.0,10000.0,Current,Home buying,19.7,304xx,GA,10+ years,1.0
752532,10000.0,10000.0,10000.0,Current,Credit card refinancing,7.83,067xx,CT,10+ years,1.0
1139023,5000.0,5000.0,5000.0,Fully Paid,Debt consolidation,15.67,107xx,NY,9 years,1.0
1660058,9000.0,9000.0,9000.0,Fully Paid,Debt consolidation,14.24,841xx,UT,2 years,1.0
460177,23000.0,23000.0,23000.0,Fully Paid,Debt consolidation,34.24,844xx,UT,3 years,1.0
212229,15000.0,15000.0,15000.0,Fully Paid,Home improvement,19.94,952xx,CA,10+ years,1.0
309737,17000.0,17000.0,17000.0,Current,Debt consolidation,32.84,462xx,IN,8 years,1.0
1290480,20000.0,20000.0,20000.0,Fully Paid,Major purchase,2.19,851xx,AZ,5 years,1.0
489133,12000.0,12000.0,12000.0,Current,Credit card refinancing,17.06,798xx,TX,10+ years,1.0
2071693,4000.0,4000.0,4000.0,Current,Other,14.07,361xx,AL,9 years,1.0
625999,4000.0,4000.0,4000.0,Current,Debt consolidation,15.89,541xx,WI,2 years,1.0
1963257,30000.0,30000.0,30000.0,Current,Credit card refinancing,24.76,452xx,OH,2 years,1.0
5588,30000.0,30000.0,30000.0,Current,,22.39,980xx,WA,8 years,1.0
560354,25000.0,25000.0,25000.0,Fully Paid,Debt consolidation,12.88,206xx,MD,2 years,1.0
2254208,4000.0,4000.0,4000.0,Fully Paid,Moving and relocation,16.07,206xx,MD,< 1 year,1.0
885545,14000.0,14000.0,14000.0,Fully Paid,Debt consolidation,26.02,070xx,NJ,< 1 year,1.0
8107,15825.0,15825.0,15825.0,Fully Paid,Debt consolidation,3.06,928xx,CA,3 years,1.0
100411,12000.0,12000.0,12000.0,Current,Debt consolidation,13.94,631xx,MO,2 years,1.0
78871,32000.0,32000.0,32000.0,Current,Debt consolidation,19.98,630xx,MO,10+ years,1.0
1674677,15000.0,15000.0,15000.0,Fully Paid,Debt consolidation,22.28,442xx,OH,2 years,1.0
675168,35000.0,35000.0,35000.0,Current,Credit card refinancing,9.81,193xx,PA,8 years,1.0
1625707,14700.0,14700.0,14700.0,Fully Paid,Eliminate Revolving Debt - Purchase Home,8.97,970xx,OR,10+ years,1.0
937018,25000.0,25000.0,25000.0,Charged Off,Debt consolidation,16.56,894xx,NV,5 years,1.0
1128759,3000.0,3000.0,3000.0,Fully Paid,Debt consolidation,13.82,623xx,IL,1 year,1.0
1327979,16000.0,16000.0,16000.0,Fully Paid,Credit card refinancing,23.93,442xx,OH,10+ years,1.0
1577561,10000.0,10000.0,10000.0,Current,Medical expenses,18.72,494xx,MI,10+ years,1.0
1853197,11500.0,11500.0,11500.0,Fully Paid,Wedding,10.43,201xx,VA,6 years,1.0
408609,20125.0,20125.0,20125.0,Current,Debt consolidation,20.39,275xx,NC,9 years,1.0
2164955,13500.0,13500.0,13500.0,Current,Credit card refinancing,11.01,630xx,MO,2 years,1.0
1249470,1200.0,1200.0,1200.0,Fully Paid,Debt consolidation,12.95,921xx,CA,< 1 year,1.0
1609331,20000.0,20000.0,20000.0,Current,Credit card refinancing,12.07,330xx,FL,10+ years,1.0
145830,12000.0,12000.0,12000.0,Fully Paid,Debt consolidation,17.06,330xx,FL,4 years,1.0
334618,12000.0,12000.0,12000.0,Fully Paid,Debt consolidation,26.82,890xx,NV,1 year,1.0
218239,10500.0,10500.0,10500.0,Fully Paid,Debt consolidation,22.64,482xx,MI,9 years,1.0
1600663,19000.0,19000.0,19000.0,Current,Debt consolidation,15.26,781xx,TX,10+ years,1.0
783878,12000.0,12000.0,12000.0,Current,Home improvement,23.59,478xx,IN,,1.0
1286651,7000.0,7000.0,7000.0,Fully Paid,Major purchase,22.23,240xx,VA,5 years,1.0
1640623,8400.0,8400.0,8400.0,Fully Paid,Citi Payoff,12.91,432xx,OH,< 1 year,1.0
180100,30000.0,29950.0,30000.0,Fully Paid,Debt consolidation,11.71,068xx,CT,10+ years,1.0
2152191,21600.0,21600.0,21600.0,Current,Debt consolidation,17.56,780xx,TX,6 years,1.0
2212113,35000.0,35000.0,35000.0,Current,Debt consolidation,20.76,956xx,CA,< 1 year,1.0
1596224,5000.0,5000.0,5000.0,Current,Debt consolidation,15.2,760xx,TX,2 years,1.0
687014,27600.0,27550.0,27600.0,Fully Paid,Credit card refinancing,14.62,302xx,GA,1 year,1.0
786298,15000.0,15000.0,15000.0,Current,Debt consolidation,17.97,671xx,KS,6 years,1.0
1941944,10000.0,10000.0,10000.0,Current,Medical expenses,27.4,601xx,IL,< 1 year,1.0
1940280,13250.0,13250.0,13250.0,Fully Paid,Debt consolidation,13.98,305xx,GA,< 1 year,1.0
1287347,10000.0,10000.0,10000.0,Current,Credit card refinancing,16.78,150xx,PA,8 years,1.0
1295635,10000.0,10000.0,10000.0,Fully Paid,Home improvement,27.36,070xx,NJ,10+ years,1.0
1647271,20000.0,6500.0004518024325,20000.0,Charged Off,relief,22.81,331xx,FL,1 year,1.0
259295,18000.0,18000.0,18000.0,Fully Paid,Debt consolidation,13.23,104xx,NY,1 year,1.0
1154838,6000.0,6000.0,6000.0,Fully Paid,Credit card refinancing,16.59,770xx,TX,7 years,1.0
122132,20000.0,20000.0,20000.0,Current,Credit card refinancing,19.63,065xx,CT,10+ years,1.0
1205238,29975.0,29975.0,29975.0,Fully Paid,Debt consolidation,5.6,774xx,TX,10+ years,1.0
189676,32000.0,32000.0,32000.0,Fully Paid,Debt consolidation,22.44,309xx,GA,10+ years,1.0
634632,35000.0,35000.0,35000.0,Current,Debt consolidation,2.92,190xx,PA,< 1 year,1.0
2154159,13950.0,13950.0,13950.0,Current,Debt consolidation,25.99,370xx,TN,,1.0
2091084,10000.0,10000.0,10000.0,Current,Debt consolidation,25.68,456xx,OH,4 years,1.0
1764612,35000.0,35000.0,35000.0,Fully Paid,CONSOLIDATION,18.63,087xx,NJ,,1.0
721561,15500.0,15500.0,15500.0,Current,Debt consolidation,31.59,890xx,NV,10+ years,1.0
1684139,16800.0,16800.0,16800.0,Fully Paid,Debt consolidation,13.3,462xx,IN,1 year,1.0
362533,15000.0,15000.0,15000.0,Fully Paid,Credit card refinancing,16.58,462xx,IN,6 years,1.0
2196710,9600.0,9550.0,9600.0,Charged Off,Debt consolidation,24.83,840xx,UT,4 years,1.0
797709,6000.0,6000.0,6000.0,Current,Debt consolidation,9.3,847xx,UT,1 year,1.0
1933003,25000.0,24950.0,25000.0,Charged Off,i need a huge break,17.27,114xx,NY,10+ years,1.0
326549,28000.0,28000.0,28000.0,Current,Debt consolidation,20.22,563xx,MN,3 years,1.0
815745,34000.0,34000.0,34000.0,Current,Credit card refinancing,17.57,164xx,PA,10+ years,1.0
1619099,7000.0,6725.0,7000.0,Fully Paid,Personal Loan,24.39,970xx,OR,3 years,1.0
1875842,11500.0,11500.0,11500.0,Fully Paid,Business,22.59,626xx,IL,4 years,1.0
1918788,27575.0,27575.0,27575.0,Fully Paid,Debt consolidation,12.3,322xx,FL,4 years,1.0
2250122,35000.0,35000.0,35000.0,Fully Paid,Debt consolidation,11.18,076xx,NJ,8 years,1.0
908161,22400.0,22400.0,22400.0,Late (31-120 days),Debt consolidation,28.57,900xx,CA,< 1 year,1.0
403559,19850.0,19850.0,19850.0,Fully Paid,Debt consolidation,33.16,763xx,TX,10+ years,1.0
2041680,12775.0,12775.0,12775.0,Charged Off,Debt consolidation,2.5,704xx,LA,,1.0
2008537,12000.0,12000.0,12000.0,Charged Off,Debt consolidation,33.43,150xx,PA,10+ years,1.0
1552399,8000.0,8000.0,8000.0,Current,Debt consolidation,14.67,641xx,MO,1 year,1.0
933179,3200.0,3200.0,3200.0,Current,Debt consolidation,15.02,146xx,NY,10+ years,1.0
1966742,25000.0,25000.0,25000.0,Current,Debt consolidation,20.83,672xx,KS,10+ years,1.0
2118433,4000.0,4000.0,4000.0,Fully Paid,Credit card refinancing,14.61,315xx,GA,10+ years,1.0
859994,20000.0,20000.0,20000.0,Current,Debt consolidation,20.85,327xx,FL,1 year,1.0
2002087,20000.0,20000.0,20000.0,Fully Paid,Debt consolidation,14.85,880xx,NM,8 years,1.0
522848,30000.0,30000.0,30000.0,Current,Home improvement,13.44,770xx,TX,8 years,1.0
347217,27000.0,27000.0,27000.0,Fully Paid,Debt consolidation,26.98,983xx,WA,10+ years,1.0
1775658,7125.0,7125.0,7125.0,Charged Off,Debt Consolidation,13.42,920xx,CA,2 years,1.0
1348318,12800.0,12800.0,12800.0,Fully Paid,Debt Consolidation,17.32,275xx,NC,10+ years,1.0
1745410,11950.0,11950.0,11950.0,Current,Debt consolidation,12.26,027xx,MA,7 years,1.0
2085726,10000.0,10000.0,10000.0,Current,Credit card refinancing,18.57,760xx,TX,1 year,1.0
733459,15000.0,15000.0,15000.0,Fully Paid,Debt consolidation,12.55,021xx,MA,4 years,1.0
890274,12000.0,12000.0,12000.0,Fully Paid,Debt consolidation,16.85,080xx,NJ,5 years,1.0
598238,18000.0,18000.0,18000.0,Fully Paid,Debt consolidation,45.79,641xx,MO,3 years,1.0
148788,9375.0,9375.0,9375.0,Charged Off,Debt consolidation,10.3,207xx,MD,1 year,1.0
746098,8000.0,8000.0,8000.0,Charged Off,Debt consolidation,33.63,670xx,KS,10+ years,1.0
1164355,7325.0,7325.0,7325.0,Fully Paid,Business,1.74,604xx,IL,5 years,1.0
470137,35000.0,35000.0,35000.0,Current,Credit card refinancing,4.73,112xx,NY,10+ years,1.0
492881,40000.0,40000.0,40000.0,Current,Debt consolidation,24.77,761xx,TX,10+ years,1.0
842277,20375.0,20375.0,20375.0,Late (31-120 days),Credit card refinancing,999.0,582xx,ND,10+ years,1.0
733822,24000.0,24000.0,24000.0,Fully Paid,Debt consolidation,15.23,064xx,CT,2 years,1.0
1205445,18000.0,18000.0,18000.0,Fully Paid,Debt consolidation,22.04,328xx,FL,,1.0
562519,20000.0,20000.0,20000.0,Current,Credit card refinancing,24.8,300xx,GA,10+ years,1.0
1164060,12000.0,12000.0,12000.0,Current,Credit card refinancing,36.94,342xx,FL,10+ years,1.0
617785,24000.0,24000.0,24000.0,Fully Paid,Home improvement,20.75,836xx,ID,10+ years,1.0
983655,10000.0,10000.0,10000.0,Current,Debt consolidation,9.25,760xx,TX,4 years,1.0
1015410,8000.0,8000.0,8000.0,Fully Paid,Debt consolidation,19.43,750xx,TX,8 years,1.0
1509018,22000.0,22000.0,22000.0,Current,Credit card refinancing,7.44,019xx,MA,10+ years,1.0
1822897,10000.0,10000.0,10000.0,Fully Paid,Credit Card,10.45,922xx,CA,,1.0
2204889,7500.0,7500.0,7500.0,Current,Credit card refinancing,10.94,303xx,GA,4 years,1.0
1828595,24000.0,24000.0,24000.0,Charged Off,Debt consolidation,22.11,631xx,MO,10+ years,1.0
537133,9000.0,9000.0,9000.0,Fully Paid,Debt consolidation,26.91,623xx,IL,9 years,1.0
229077,3000.0,3000.0,3000.0,Fully Paid,Credit card refinancing,20.56,152xx,PA,5 years,1.0
1910837,7000.0,6950.0,7000.0,Fully Paid,Debt Consolidate/CC Refi,22.85,787xx,TX,10+ years,1.0
1326278,20000.0,19950.0,20000.0,Fully Paid,Debt consolidation,27.45,923xx,CA,10+ years,1.0
347475,11850.0,11850.0,11850.0,Fully Paid,Debt consolidation,27.86,630xx,MO,4 years,1.0
1031825,8400.0,8400.0,8400.0,Fully Paid,,15.53,088xx,NJ,2 years,1.0
1599136,1500.0,1500.0,1500.0,Current,Other,12.15,907xx,CA,10+ years,1.0
865576,13000.0,13000.0,13000.0,Current,Debt consolidation,4.05,100xx,NY,4 years,1.0
1493155,25000.0,25000.0,25000.0,Current,Debt consolidation,15.64,917xx,CA,10+ years,1.0
152087,14400.0,14400.0,14400.0,Fully Paid,Home improvement,25.78,331xx,FL,5 years,1.0
1690824,15000.0,15000.0,15000.0,Current,Home improvement,12.16,967xx,HI,,1.0
1173184,1000.0,1000.0,1000.0,Fully Paid,Home improvement,16.71,774xx,TX,10+ years,1.0
1510260,16000.0,16000.0,16000.0,Current,Major purchase,32.08,995xx,AK,,1.0
934850,3000.0,3000.0,3000.0,Current,Home improvement,4.14,462xx,IN,4 years,1.0
2104670,20000.0,20000.0,20000.0,Current,Debt consolidation,13.28,334xx,FL,8 years,1.0
1710670,8000.0,8000.0,8000.0,Current,Other,19.79,441xx,OH,6 years,1.0
271307,35000.0,34975.0,35000.0,Charged Off,Debt consolidation,37.37,458xx,OH,10+ years,1.0
1448643,15400.0,15400.0,15400.0,Current,Debt consolidation,4.05,937xx,CA,10+ years,1.0
1101804,21000.0,21000.0,21000.0,Fully Paid,Debt consolidation,11.73,105xx,NY,,1.0
1086535,13000.0,13000.0,13000.0,Fully Paid,Debt consolidation,33.15,646xx,MO,10+ years,1.0
1632101,8375.0,8375.0,8375.0,Fully Paid,pay off credit cards,12.54,925xx,CA,9 years,1.0
401430,7000.0,7000.0,7000.0,Fully Paid,Debt consolidation,35.64,913xx,CA,3 years,1.0
2058449,25000.0,25000.0,25000.0,Late (31-120 days),Debt consolidation,17.08,342xx,FL,10+ years,1.0
1194469,5000.0,5000.0,5000.0,Fully Paid,Debt consolidation,10.88,945xx,CA,10+ years,1.0
1442698,21000.0,21000.0,21000.0,Current,Debt consolidation,38.33,562xx,MN,10+ years,1.0
2046843,22400.0,22400.0,22400.0,Current,Major purchase,17.14,906xx,CA,7 years,1.0
1832338,11000.0,11000.0,11000.0,Fully Paid,Debt ,4.51,957xx,CA,7 years,1.0
2183746,27000.0,27000.0,27000.0,Fully Paid,Credit card refinancing,24.43,604xx,IL,1 year,1.0
1214582,35000.0,34900.0,35000.0,Fully Paid,Home improvement,28.18,488xx,MI,5 years,1.0
1402129,11000.0,11000.0,11000.0,Current,Debt consolidation,20.28,971xx,OR,3 years,1.0
347631,33300.0,33300.0,33300.0,Current,Debt consolidation,27.43,381xx,TN,10+ years,1.0
1203158,10800.0,10800.0,10800.0,Current,Debt consolidation,29.01,433xx,OH,4 years,1.0
